"FID","Name","LH_MED","Height","YearBuilt","POINT_X","POINT_Y","year","reach","lights"
480,"Aberdovey",0,0,0,260904.2323,295847.7894,1693,NA,0
480,"Aberdovey",0,0,0,260904.2323,295847.7894,1753,NA,0
480,"Aberdovey",0,0,0,260904.2323,295847.7894,1831,0,0
480,"Aberdovey",0,0,0,260904.2323,295847.7894,1851,0,0
480,"Aberdovey",0,0,0,260904.2323,295847.7894,1911,0,1
481,"AberystwithHarbour",0,0,1864,257750.5787,281655.996,1693,NA,0
481,"AberystwithHarbour",0,0,1864,257750.5787,281655.996,1753,NA,0
481,"AberystwithHarbour",0,0,1864,257750.5787,281655.996,1831,0,2
481,"AberystwithHarbour",0,0,1864,257750.5787,281655.996,1851,0,2
481,"AberystwithHarbour",0,0,1864,257750.5787,281655.996,1911,0,1
99,"AlderneyHigh",0,0,1859,388165.6869,-18935.1352,1693,NA,0
99,"AlderneyHigh",0,0,1859,388165.6869,-18935.1352,1753,NA,0
99,"AlderneyHigh",0,0,1859,388165.6869,-18935.1352,1831,0,0
99,"AlderneyHigh",0,0,1859,388165.6869,-18935.1352,1851,0,0
99,"AlderneyHigh",0,0,1859,388165.6869,-18935.1352,1911,9,1
100,"AlderneyLow",0,0,1859,388181.9371,-18885.5888,1693,NA,0
100,"AlderneyLow",0,0,1859,388181.9371,-18885.5888,1753,NA,0
100,"AlderneyLow",0,0,1859,388181.9371,-18885.5888,1831,0,0
100,"AlderneyLow",0,0,1859,388181.9371,-18885.5888,1851,0,0
100,"AlderneyLow",0,0,1859,388181.9371,-18885.5888,1911,0,1
534,"AlexandraDock",0,0,0,332214.7062,185270.8681,1693,NA,0
534,"AlexandraDock",0,0,0,332214.7062,185270.8681,1753,NA,0
534,"AlexandraDock",0,0,0,332214.7062,185270.8681,1831,0,0
534,"AlexandraDock",0,0,0,332214.7062,185270.8681,1851,0,0
534,"AlexandraDock",0,0,0,332214.7062,185270.8681,1911,0,1
125,"AlumBay",0,0,1888,430409.2945,85645.1625,1693,NA,0
125,"AlumBay",0,0,1888,430409.2945,85645.1625,1753,NA,0
125,"AlumBay",0,0,1888,430409.2945,85645.1625,1831,0,0
125,"AlumBay",0,0,1888,430409.2945,85645.1625,1851,0,0
125,"AlumBay",0,0,1888,430409.2945,85645.1625,1911,0,1
463,"AmlwchPort",0,26,1817,245523.2337,393722.0735,1693,NA,0
